table_name	column_name	referenced_table	referenced_column
agent_checkpoints	agentId	agents	id
agent_execution	threadId	agent_execution_threads	id
agent_execution_threads	agentId	agents	id
agent_execution_threads	projectId	project	id
agent_execution_threads	taskVersionId	agent_history	versionId
agent_files	agentId	agents	id
agent_history	agentId	agents	id
agent_history	publishedById	user	id
agent_task_definition	agentId	agents	id
agent_task_run_lock	agentId	agents	id
agent_task_snapshot	versionId	agent_history	versionId
agents	activeVersionId	agent_history	versionId
agents	projectId	project	id
agents_memory_entries	agentId	agents	id
agents_memory_entries	resourceId	agents_resources	id
agents_memory_entries	supersededBy	agents_memory_entries	id
agents_memory_entry_cursors	agentId	agents	id
agents_memory_entry_cursors	observationScopeId	agents_threads	id
agents_memory_entry_locks	agentId	agents	id
agents_memory_entry_locks	resourceId	agents_resources	id
agents_memory_entry_sources	agentId	agents	id
agents_memory_entry_sources	memoryEntryId	agents_memory_entries	id
agents_memory_entry_sources	observationId	agents_observations	id
agents_memory_entry_sources	threadId	agents_threads	id
agents_messages	threadId	agents_threads	id
agents_observation_cursors	agentId	agents	id
agents_observation_cursors	observationScopeId	agents_threads	id
agents_observation_locks	agentId	agents	id
agents_observation_locks	observationScopeId	agents_threads	id
agents_observations	agentId	agents	id
agents_observations	observationScopeId	agents_threads	id
agents_observations	parentId	agents_observations	id
agents_observations	supersededBy	agents_observations	id
ai_builder_temporary_workflow	threadId	instance_ai_threads	id
ai_builder_temporary_workflow	workflowId	workflow_entity	id
auth_identity	userId	user	id
chat_hub_agent_tools	agentId	chat_hub_agents	id
chat_hub_agent_tools	toolId	chat_hub_tools	id
chat_hub_agents	credentialId	credentials_entity	id
chat_hub_agents	ownerId	user	id
chat_hub_messages	agentId	chat_hub_agents	id
chat_hub_messages	executionId	execution_entity	id
chat_hub_messages	previousMessageId	chat_hub_messages	id
chat_hub_messages	retryOfMessageId	chat_hub_messages	id
chat_hub_messages	revisionOfMessageId	chat_hub_messages	id
chat_hub_messages	sessionId	chat_hub_sessions	id
chat_hub_messages	workflowId	workflow_entity	id
chat_hub_session_tools	sessionId	chat_hub_sessions	id
chat_hub_session_tools	toolId	chat_hub_tools	id
chat_hub_sessions	agentId	chat_hub_agents	id
chat_hub_sessions	credentialId	credentials_entity	id
chat_hub_sessions	ownerId	user	id
chat_hub_sessions	workflowId	workflow_entity	id
chat_hub_tools	ownerId	user	id
client_notifications	client_id	clients	id
client_notifications	reservation_id	reservations	id
client_notifications	restaurant_id	restaurants	id
clients	restaurant_id	restaurants	id
conversation_states	restaurant_id	restaurants	id
credential_dependency	credentialId	credentials_entity	id
credentials_entity	resolverId	dynamic_credential_resolver	id
data_table	projectId	project	id
data_table_column	dataTableId	data_table	id
dynamic_credential_entry	credential_id	credentials_entity	id
dynamic_credential_entry	resolver_id	dynamic_credential_resolver	id
dynamic_credential_user_entry	credentialId	credentials_entity	id
dynamic_credential_user_entry	resolverId	dynamic_credential_resolver	id
dynamic_credential_user_entry	userId	user	id
evaluation_collection	createdById	user	id
evaluation_collection	evaluationConfigId	evaluation_config	id
evaluation_collection	workflowId	workflow_entity	id
evaluation_config	workflowId	workflow_entity	id
execution_annotation_tags	annotationId	execution_annotations	id
execution_annotation_tags	tagId	annotation_tag_entity	id
execution_annotations	executionId	execution_entity	id
execution_data	executionId	execution_entity	id
execution_entity	workflowId	workflow_entity	id
execution_metadata	executionId	execution_entity	id
folder	parentFolderId	folder	id
folder	projectId	project	id
folder_tag	folderId	folder	id
folder_tag	tagId	tag_entity	id
insights_by_period	metaId	insights_metadata	metaId
insights_metadata	projectId	project	id
insights_metadata	workflowId	workflow_entity	id
insights_raw	metaId	insights_metadata	metaId
installed_nodes	package	installed_packages	packageName
instance_ai_checkpoints	threadId	instance_ai_threads	id
instance_ai_iteration_logs	threadId	instance_ai_threads	id
instance_ai_messages	threadId	instance_ai_threads	id
instance_ai_observation_cursors	observationScopeId	instance_ai_threads	id
instance_ai_observation_locks	observationScopeId	instance_ai_threads	id
instance_ai_observational_memory	threadId	instance_ai_threads	id
instance_ai_observations	observationScopeId	instance_ai_threads	id
instance_ai_observations	parentId	instance_ai_observations	id
instance_ai_observations	supersededBy	instance_ai_observations	id
instance_ai_pending_confirmations	checkpointKey	instance_ai_checkpoints	key
instance_ai_pending_confirmations	threadId	instance_ai_threads	id
instance_ai_pending_confirmations	userId	user	id
instance_ai_run_snapshots	threadId	instance_ai_threads	id
oauth_access_tokens	clientId	oauth_clients	id
oauth_access_tokens	userId	user	id
oauth_authorization_codes	clientId	oauth_clients	id
oauth_authorization_codes	userId	user	id
oauth_refresh_tokens	clientId	oauth_clients	id
oauth_refresh_tokens	userId	user	id
oauth_user_consents	clientId	oauth_clients	id
oauth_user_consents	userId	user	id
processed_data	workflowId	workflow_entity	id
project	creatorId	user	id
project_relation	projectId	project	id
project_relation	role	role	slug
project_relation	userId	user	id
project_secrets_provider_access	projectId	project	id
project_secrets_provider_access	secretsProviderConnectionId	secrets_provider_connection	id
reservations	client_id	clients	id
reservations	restaurant_id	restaurants	id
restaurant_channels	restaurant_id	restaurants	id
restaurant_closures	restaurant_id	restaurants	id
restaurant_settings	restaurant_id	restaurants	id
role_mapping_rule	role	role	slug
role_mapping_rule_project	projectId	project	id
role_mapping_rule_project	roleMappingRuleId	role_mapping_rule	id
role_scope	roleSlug	role	slug
role_scope	scopeSlug	scope	slug
shared_credentials	credentialsId	credentials_entity	id
shared_credentials	projectId	project	id
shared_workflow	projectId	project	id
shared_workflow	workflowId	workflow_entity	id
test_case_execution	executionId	execution_entity	id
test_case_execution	testRunId	test_run	id
test_run	collectionId	evaluation_collection	id
test_run	evaluationConfigId	evaluation_config	id
test_run	workflowId	workflow_entity	id
trusted_key	sourceId	trusted_key_source	id
user	roleSlug	role	slug
user_api_keys	userId	user	id
user_favorites	userId	user	id
variables	projectId	project	id
webhook_entity	workflowId	workflow_entity	id
workflow_builder_session	userId	user	id
workflow_builder_session	workflowId	workflow_entity	id
workflow_dependency	workflowId	workflow_entity	id
workflow_entity	activeVersionId	workflow_history	versionId
workflow_entity	parentFolderId	folder	id
workflow_history	workflowId	workflow_entity	id
workflow_publish_history	userId	user	id
workflow_publish_history	versionId	workflow_history	versionId
workflow_publish_history	workflowId	workflow_entity	id
workflow_published_version	publishedVersionId	workflow_history	versionId
workflow_published_version	workflowId	workflow_entity	id
workflows_tags	tagId	tag_entity	id
workflows_tags	workflowId	workflow_entity	id
(153 rows)
